Original,Masked,Replacement Masks,LLM Replaced masks,LLM Replaced text
"Well, thank you very much. It's an honor to be here. What a great place. What a great place, but more importantly, what great people. I want to thank His Royal Highness the Crown Prince for...","[MASK] thank you very much. It's [MASK] honor to be here. What a great [MASK] What a great place, but more importantly, what great people. I want to thank His Royal Highness the Crown Prince for...","[""well,"", ""an"", ""place""]","[""i want to"", ""a great"", ""city""]","i want to thank you very much. It's a great honor to be here. What a great city What a great place, but more importantly, what great people. I want to thank His Royal Highness the Crown Prince for..."
incredible introduction he's an incredible man known him a long time now there's nobody like him thank you very much appreciate it very much my friend and it's a tremendous honor to return to this beautiful kingdom and be welcomed back with such extraordinary generosity and warmth,incredible introduction he's an [MASK] man known him a long [MASK] now there's nobody like him thank you very much appreciate it very much my friend and it's a tremendous honor to return to this beautiful kingdom and be welcomed back [MASK] with such extraordinary generosity and warmth,"[""incredible"", ""time"", """"]","[""amazing"", ""time and"", ""to your home""]",incredible introduction he's an amazing man known him a long time and now there's nobody like him thank you very much appreciate it very much my friend and it's a tremendous honor to return to this beautiful kingdom and be welcomed back to your home with such extraordinary generosity and warmth
"I've never forgotten the exceptional hospitality show to us by King Solomon, who's just, we talk about a great man. That is a great man.","I've [MASK] forgotten the exceptional hospitality show [MASK] us by King Solomon, who's just, we talk about a great man. That [MASK] a great man.","[""never"", ""to"", ""is""]","[""never"", ""given to"", ""he's""]","I've never forgotten the exceptional hospitality show given to us by King Solomon, who's just, we talk about a great man. That he's a great man."
"That is a great man, a great family. And that visit took place exactly eight years ago. The graciousness of the royal family and the Saudi people is really unsurpassed, no matter where you go.","That [MASK] a great man, a great family. And that visit took place [MASK] eight years ago. The graciousness of [MASK] royal family and the Saudi people is really unsurpassed, no matter where you go.","[""is"", ""exactly"", ""the""]","[""visit took place in saudi arabia eight years ago the graciousness of the saudi royal family and the saudi people is really unsurpassed, no matter where you go"", """", """"]","That visit took place in saudi arabia eight years ago the graciousness of the saudi royal family and the saudi people is really unsurpassed, no matter where you go a great man, a great family. And that visit took place  eight years ago. The graciousness of  royal family and the Saudi people is really unsurpassed, no matter where you go."
"Let me also thank the countless ministers, government officials, business leaders, and distinguished guests for that warm welcome. Very warm, and I know so many of you.","Let me also [MASK] the countless ministers, government officials, business leaders, and distinguished guests [MASK] that warm welcome. Very warm, [MASK] I know so many of you.","[""thank"", ""for"", ""and""]","[""thank"", ""who have given me"", ""indeed, as""]","Let me also thank the countless ministers, government officials, business leaders, and distinguished guests who have given me that warm welcome. Very warm, indeed, as I know so many of you."
"like to call out all of your names, but we have a lot of problems. We've been here for a long time. We don't want that, so don't be upset. With this historic state visit, we celebrate more than 80 years of close partnership between the United States and the Kingdom of Saudi Arabia.","like to call out all of [MASK] names, but we have a lot of [MASK] problems. We've been here for a long time. [MASK] don't want that, so don't be upset. With this historic state visit, we celebrate more than 80 years of close partnership between the United States and the Kingdom of Saudi Arabia.","[""your"", """", ""we""]","[""these"", """", ""we""]","like to call out all of these names, but we have a lot of  problems. We've been here for a long time. we don't want that, so don't be upset. With this historic state visit, we celebrate more than 80 years of close partnership between the United States and the Kingdom of Saudi Arabia."
"Ever since President Franklin Roosevelt met with King Solomon's father, King Abdul Aziz, aboard the USS Quincy in 1945,","[MASK] since President Franklin Roosevelt met with King Solomon's father, [MASK] Abdul Aziz, aboard the USS Quincy [MASK] 1945,","[""ever"", ""king"", ""in""]","[""ever"", ""king"", ""in""]","ever since President Franklin Roosevelt met with King Solomon's father, king Abdul Aziz, aboard the USS Quincy in 1945,"
"The U .S.-Saudi relationship has been a bedrock of security and prosperity. Today we reaffirm this important bond and we take the next steps to make our relationship closer, stronger, and more powerful than ever before. It is more powerful than...","The U [MASK] relationship has been a bedrock of security and prosperity. Today we reaffirm this important bond and we take the next steps to make our relationship closer, [MASK] and more powerful than ever [MASK] It is more powerful than...","[""ssaudi"", ""stronger,"", ""before""]","["""", """", """"]","The U  relationship has been a bedrock of security and prosperity. Today we reaffirm this important bond and we take the next steps to make our relationship closer,  and more powerful than ever  It is more powerful than..."
"ever before. And by the way, it will remain that way. We don't go in and out like other people. I've come this afternoon to talk about the bright future of the Middle East. But first, let me begin by sharing the abundance of good news from","ever before. And by the way, it will remain that way. We don't go in and out like other people. [MASK] come this afternoon to talk about the bright future of [MASK] Middle East. But first, let me begin by sharing the abundance [MASK] good news from","[""i've"", ""the"", ""of""]","["""", """", """"]","ever before. And by the way, it will remain that way. We don't go in and out like other people.  come this afternoon to talk about the bright future of  Middle East. But first, let me begin by sharing the abundance  good news from"
"a place called America, in less than four months, our new administration has achieved more than most other administrations accomplish in four years or even eight years. We've actually done, for the most part, more.","a place called [MASK] in less than four months, our new administration has achieved more than most other administrations accomplish in four years [MASK] even eight years. We've actually done, for the [MASK] part, more.","[""america,"", ""or"", ""most""]","[""the white house and"", ""five years, or"", ""most""]","a place called the white house and in less than four months, our new administration has achieved more than most other administrations accomplish in four years five years, or even eight years. We've actually done, for the most part, more."
