Original,Masked,Replacement Masks,LLM Replaced masks,LLM Replaced text

"When I was young, my family lived overseas. I lived in Indonesia for a few years. And my mother, she didn't have the money to send me where all the American kids went to school. But she thought it was important for me to keep up.","When I was young, my family lived overseas. I lived in Indonesia for a few years. And my mother, she didn't [MASK] the money to send me where [MASK] the American kids went to school. But she thought it [MASK] important for me to keep up.","[""have"", ""all"", ""was""]","[""have"", ""all"", ""was""]","When I was young, my family lived overseas. I lived in Indonesia for a few years. And my mother, she didn't have the money to send me where all the American kids went to school. But she thought it was important for me to keep up."

"with an American education, so she decided to teach me extra lessons herself, Monday through Friday, but because she had to go to work, the only time she could do it was at 4 .30 in the morning.","with an American education, so she decided to [MASK] me extra lessons herself, Monday through [MASK] but because she had to go to work, the [MASK] time she could do it was at 4 .30 in the morning.","[""teach"", ""friday,"", ""only""]","[""teach"", ""friday,"", ""only""]","with an American education, so she decided to teach me extra lessons herself, Monday through friday, but because she had to go to work, the only time she could do it was at 4 .30 in the morning."

"But whenever I'd complain, my mother would just give me one of those looks and she'd say, This is no picnic for me either, Buster. So I know that some of you are still adjusting to being back at school, but I'm here today because...","But whenever I'd complain, my mother would just give me one of those looks and she'd say, This is no picnic [MASK] me either, Buster. So I know that some [MASK] you are still adjusting to being back [MASK] school, but I'm here today because...","[""for"", ""of"", ""at""]","[""for"", ""of"", ""at""]","But whenever I'd complain, my mother would just give me one of those looks and she'd say, This is no picnic for me either, Buster. So I know that some of you are still adjusting to being back at school, but I'm here today because..."

"I have something important to discuss with you. My father left my family when I was two years old, and I was raised by a single mom who had to work and who struggled at times to pay the bills and wasn't always able to give us...","I have something important to discuss [MASK] you. My father left my family when I was two years old, and I was raised by a single mom who had to work and who struggled at [MASK] to pay the bills and wasn't [MASK] able to give us...","[""with"", ""times"", ""always""]","[""with"", ""times"", ""always""]","I have something important to discuss with you. My father left my family when I was two years old, and I was raised by a single mom who had to work and who struggled at times to pay the bills and wasn't always able to give us..."

things that other kids had there were times when i missed having a father in my life there were times when i was lonely and i felt like i didn't fit in so i wasn't always as focused as i should have been on school and i did some things that i'm not proud of and i got,things that other kids had [MASK] were times when i missed having a father in my life there were times when i was lonely and i felt like i didn't fit in so i wasn't always [MASK] focused as i should have been on school and i did [MASK] things that i'm not proud of and i got,"[""there"", ""as"", ""some""]","[""done there"", ""as"", ""some""]",things that other kids had done there were times when i missed having a father in my life there were times when i was lonely and i felt like i didn't fit in so i wasn't always as focused as i should have been on school and i did some things that i'm not proud of and i got

"in more trouble than I should have. And my life could have easily taken a turn for the worse. But I was lucky. I got a lot of second chances, and I had the opportunity to go to college and law school and follow my dreams.",in more trouble than I should have. And my life could have easily [MASK] a turn for the worse. But I was lucky. I got a lot of second [MASK] and I had the opportunity to go to college and law school [MASK] and follow my dreams.,"[""taken"", ""chances,"", """"]","[""taken"", ""chances,"", "",""]","in more trouble than I should have. And my life could have easily taken a turn for the worse. But I was lucky. I got a lot of second chances, and I had the opportunity to go to college and law school , and follow my dreams."

"My wife, our first lady, Michelle Obama, she has a similar story. Neither of her parents had gone to college, and they didn't have a lot of money. But they worked hard, and she worked hard, so that she could go to the best schools in this country.","My wife, our first lady, [MASK] Obama, she has a similar story. Neither of her parents [MASK] gone to college, and they [MASK] have a lot of money. But they worked hard, and she worked hard, so that she could go to the best schools in this country.","[""michelle"", ""had"", ""didn't""]","[""michelle"", ""had"", ""didn't""]","My wife, our first lady, michelle Obama, she has a similar story. Neither of her parents had gone to college, and they didn't have a lot of money. But they worked hard, and she worked hard, so that she could go to the best schools in this country."

Some of you might not have those advantages. Maybe you don't have adults in your life who give you the support that you need. Maybe someone in your family has lost their job and there's not enough money to go around. Maybe you live in a neighborhood.,Some [MASK] you might not have those advantages. Maybe you don't have adults in your life who give [MASK] the support that you need. Maybe someone in your family has lost their job [MASK] there's not enough money to go around. Maybe you live in a neighborhood.,"[""of"", ""you"", ""and""]","[""of"", ""you"", ""and""]",Some of you might not have those advantages. Maybe you don't have adults in your life who give you the support that you need. Maybe someone in your family has lost their job and there's not enough money to go around. Maybe you live in a neighborhood.

"where you don't feel safe, or have friends who are pressuring you to do things you know aren't right. Maybe you could be a great writer. Maybe even good enough to write a book or articles in a newspaper, but you might not know it.","where you don't feel safe, or have friends who are pressuring you to do things you know aren't right. Maybe you could be [MASK] great writer. Maybe even good [MASK] to write a book or articles [MASK] a newspaper, but you might not know it.","[""a"", ""enough"", ""in""]","[""a"", ""enough"", ""for""]","where you don't feel safe, or have friends who are pressuring you to do things you know aren't right. Maybe you could be a great writer. Maybe even good enough to write a book or articles for a newspaper, but you might not know it."

"Until you write that English paper, that English class paper that's assigned to you. Maybe you could be an innovator or an inventor. Maybe even good enough to come up with the next iPhone or the new medicine or vaccine.","Until you write that English paper, that English class paper that's assigned [MASK] you. Maybe you could be an [MASK] or an inventor. Maybe even good enough to come up [MASK] the next iPhone or the new medicine or vaccine.","[""to"", ""innovator"", ""with""]","[""to"", ""engineer"", ""with""]","Until you write that English paper, that English class paper that's assigned to you. Maybe you could be an engineer or an inventor. Maybe even good enough to come up with the next iPhone or the new medicine or vaccine."

But you might not know it until you do your project for your science class. Maybe you could be a mayor or a senator or a Supreme Court justice. But you might not know that until you join student government.,But you might not know it until you do your project for your science class. [MASK] you could be a mayor or [MASK] senator or a Supreme Court justice. But you might [MASK] know that until you join student government.,"[""maybe"", ""a"", ""not""]","[""or"", ""a"", ""not""]",But you might not know it until you do your project for your science class. or you could be a mayor or a senator or a Supreme Court justice. But you might not know that until you join student government.

"or the debate team. And no matter what you want to do with your life, I guarantee that you'll need an education to do it. You want to be a doctor or a teacher or a police officer? You want to be a nurse or an architect?","or the debate team. And no matter what you want to [MASK] with your life, I guarantee that [MASK] you'll need an education to do it. You want to be a doctor or a teacher or [MASK] police officer? You want to be a nurse or an architect?","[""do"", """", ""a""]","[""do"", ""you'll find that"", ""a""]","or the debate team. And no matter what you want to do with your life, I guarantee that you'll find that you'll need an education to do it. You want to be a doctor or a teacher or a police officer? You want to be a nurse or an architect?"

